Date,Value (USD)
01/01/2024, 0
01/08/2024, 0
01/15/2024, 22.39085
01/22/2024, 41.28146
01/29/2024, 94.82057
02/05/2024, 229.2469
02/12/2024, 110.42168
02/19/2024, 103.08706
02/26/2024, 142.65129
03/04/2024, 153.53921
03/11/2024, 217.37978
03/18/2024, 154.67439
03/25/2024, 23.1838
04/01/2024, 175.05834
04/08/2024, 233.57438
04/15/2024, 181.49325
04/22/2024, 90.67172
04/29/2024, 53.27993
05/06/2024, 0
05/13/2024, 0
05/20/2024, 0
05/27/2024, 0
06/03/2024, 0
06/10/2024, 0
06/17/2024, 0
06/24/2024, 0
07/01/2024, 0
07/08/2024, 0
07/15/2024, 0
07/22/2024, 0
07/29/2024, 0
08/05/2024, 0
08/12/2024, 0
08/19/2024, 0
08/26/2024, 0
09/02/2024, 12.34756
09/09/2024, 0
09/16/2024, 0
09/23/2024, 46.06838
09/30/2024, 54.26053
10/07/2024, 39.21686
10/14/2024, 0
10/21/2024, 50.98724
10/28/2024, 169.35158
