Date,Value (USD)
01/01/2024, 0
01/08/2024, 1223.21876
01/15/2024, 1085.96523
01/22/2024, 1656.38125
01/29/2024, 1543.80532
02/05/2024, 2310.92562
02/12/2024, 1493.0926
02/19/2024, 2684.86676
02/26/2024, 1521.26507
03/04/2024, 2691.83144
03/11/2024, 1695.29433
03/18/2024, 1834.58368
03/25/2024, 348.63886
04/01/2024, 1768.51504
04/08/2024, 2168.71897
04/15/2024, 1700.18088
04/22/2024, 2442.26018
04/29/2024, 2287.60254
05/06/2024, 1324.46793
05/13/2024, 330.72652
05/20/2024, 0
05/27/2024, 0
06/03/2024, 0
06/10/2024, 0
06/17/2024, 0
06/24/2024, 0
07/01/2024, 0
07/08/2024, 0
07/15/2024, 0
07/22/2024, 0
07/29/2024, 0
08/05/2024, 0
08/12/2024, 0
08/19/2024, 963.63112
08/26/2024, 1037.24121
09/02/2024, 1323.879
09/09/2024, 2922.40476
09/16/2024, 1651.60458
09/23/2024, 2673.41263
09/30/2024, 2058.63027
10/07/2024, 1237.31093
10/14/2024, 1681.92027
10/21/2024, 1801.62436
10/28/2024, 634.01529
