Date,Value (USD)
01/01/2024, 0
01/08/2024, 169.51227
01/15/2024, 601.50285
01/22/2024, 871.5045
01/29/2024, 716.15492
02/05/2024, 1021.42181
02/12/2024, 916.92265
02/19/2024, 853.51383
02/26/2024, 1817.09773
03/04/2024, 1695.35216
03/11/2024, 1397.99337
03/18/2024, 2242.5907
03/25/2024, 304.70116
04/01/2024, 1563.69944
04/08/2024, 2021.17717
04/15/2024, 1554.15921
04/22/2024, 1701.47562
04/29/2024, 1408.05917
05/06/2024, 981.18984
05/13/2024, 0
05/20/2024, 0
05/27/2024, 0
06/03/2024, 157.52325
06/10/2024, 1259.62924
06/17/2024, 1954.17431
06/24/2024, 2121.48268
07/01/2024, 1872.89138
07/08/2024, 2756.99458
07/15/2024, 1809.1379
07/22/2024, 2099.99523
07/29/2024, 1707.88573
08/05/2024, 1177.69756
08/12/2024, 113.35
08/19/2024, 1358.87271
08/26/2024, 1225.80977
09/02/2024, 1708.48981
09/09/2024, 2123.41645
09/16/2024, 1137.59346
09/23/2024, 1548.32882
09/30/2024, 1683.06216
10/07/2024, 1574.19385
10/14/2024, 1689.16545
10/21/2024, 1818.54981
10/28/2024, 575.89571
