Date,Value (USD)
01/01/2024, 0
01/08/2024, 388.79087
01/15/2024, 551.84808
01/22/2024, 551.73807
01/29/2024, 326.16235
02/05/2024, 850.91681
02/12/2024, 384.85228
02/19/2024, 490.6776
02/26/2024, 611.17372
03/04/2024, 917.31044
03/11/2024, 1629.94233
03/18/2024, 439.04055
03/25/2024, 0
04/01/2024, 773.27121
04/08/2024, 1124.55381
04/15/2024, 1411.24989
04/22/2024, 678.8309
04/29/2024, 891.06298
05/06/2024, 348.00021
05/13/2024, 20.02805
05/20/2024, 0
05/27/2024, 322.97023
06/03/2024, 386.1767
06/10/2024, 266.59121
06/17/2024, 245.00749
06/24/2024, 386.38265
07/01/2024, 212.75221
07/08/2024, 209.50971
07/15/2024, 284.30448
07/22/2024, 165.78691
07/29/2024, 91.79234
08/05/2024, 54.35154
08/12/2024, 21.9137
08/19/2024, 781.63018
08/26/2024, 488.60107
09/02/2024, 304.25354
09/09/2024, 415.66527
09/16/2024, 601.58711
09/23/2024, 685.41555
09/30/2024, 524.54351
10/07/2024, 1072.7356
10/14/2024, 1015.67121
10/21/2024, 1198.3454
10/28/2024, 347.67586
