Date,Time,Site,Location,Client Location ID,Device,Country,Region,Segment,Cost,Currency,Weight,Unit,Portions,Quantity,Duration,Food Item,Food Item Category,Loss Reason,Source,Disposition,Container,Stage of Processing,Operator,Event Order No.,Edited
2024-11-07,11:24:34,University of California - Berkeley,Cafe 3,,Cafe 3 - LC0456,US,NORAM,College/University,14.27,USD,14.56,lb,,1.0,63,Batter,Bread-Cereal,Presented - Not Sold,Center Plate,Compost,Soup Container-Med,Pre-Consumer,FSW,,0,
2024-11-07,11:23:09,University of California - Berkeley,Cafe 3,,Cafe 3 - LC0456,US,NORAM,College/University,8.48,USD,11.16,lb,,1.0,32,Vegetables,Fruit-Vegetable,Presented - Not Sold,Center Plate,Compost,Round Bowl - Medium,Pre-Consumer,FSW,,0,
2024-11-07,10:34:26,University of California - Berkeley,Cafe 3,,Cafe 3 - LC0456,US,NORAM,College/University,1.91,USD,1.16,lb,,1.0,18,Tofu,Meat-Protein,Presented - Not Sold,Big C Vegan,Compost,Shotgun Pan (2.5-inch) Metal,Pre-Consumer,Student,,0,
2024-11-07,10:33:52,University of California - Berkeley,Cafe 3,,Cafe 3 - LC0456,US,NORAM,College/University,1.53,USD,0.93,lb,,1.0,21,Tofu,Meat-Protein,Presented - Not Sold,Big C Vegan,Compost,Shotgun Pan (2.5-inch) Metal,Pre-Consumer,Student,,0,
2024-11-07,10:33:01,University of California - Berkeley,Cafe 3,,Cafe 3 - LC0456,US,NORAM,College/University,3.60,USD,0.80,lb,,1.0,22,Alternative Meat,Meat-Protein,Presented - Not Sold,Big C Vegan,Compost,Shotgun Pan (2.5-inch) Metal,Pre-Consumer,Student,,0,
2024-11-07,10:27:57,University of California - Berkeley,Cafe 3,,Cafe 3 - LC0456,US,NORAM,College/University,4.59,USD,1.84,lb,,1.0,31,Hot Cereal,Bread-Cereal,Presented - Not Sold,Center Plate,Compost,Soup Container-Med,Pre-Consumer,Student,,0,
2024-11-07,10:26:47,University of California - Berkeley,Cafe 3,,Cafe 3 - LC0456,US,NORAM,College/University,0.46,USD,0.90,lb,,1.0,27,Potatoes,Starch,Presented - Not Sold,Center Plate,Compost,Full Hotel Pan (2.5-inch) Metal,Pre-Consumer,Student,,0,
2024-11-07,10:25:58,University of California - Berkeley,Cafe 3,,Cafe 3 - LC0456,US,NORAM,College/University,4.25,USD,4.47,lb,,1.0,33,Rice,Starch,Presented - Not Sold,Center Plate,Compost,Shotgun Pan (4-inch) Metal,Pre-Consumer,Student,,0,
2024-11-07,10:25:12,University of California - Berkeley,Cafe 3,,Cafe 3 - LC0456,US,NORAM,College/University,1.57,USD,0.84,lb,,1.0,17,Eggs,Dairy & Eggs,Presented - Not Sold,Center Plate,Compost,Shotgun Pan (4-inch) Metal,Pre-Consumer,Student,,0,
2024-11-07,10:24:54,University of California - Berkeley,Cafe 3,,Cafe 3 - LC0456,US,NORAM,College/University,3.35,USD,0.87,lb,,1.0,52,Pork,Meat-Protein,Presented - Not Sold,Center Plate,Compost,Shotgun Pan (4-inch) Metal,Pre-Consumer,Student,,0,
2024-11-07,10:23:37,University of California - Berkeley,Cafe 3,,Cafe 3 - LC0456,US,NORAM,College/University,13.11,USD,7.02,lb,,1.0,6542,Eggs,Dairy & Eggs,Presented - Not Sold,Center Plate,Compost,Shotgun Pan (4-inch) Metal,Pre-Consumer,Student,,0,
2024-11-07,08:34:32,University of California - Berkeley,Cafe 3,,Cafe 3 - LC0456,US,NORAM,College/University,1.79,USD,2.36,lb,,1.0,27,Vegetables,Fruit-Vegetable,Mishandled,Deli,Compost,Quarter Hotel Pan (4-inch) Metal,Pre-Consumer,FSW,,0,
2024-11-07,08:33:46,University of California - Berkeley,Cafe 3,,Cafe 3 - LC0456,US,NORAM,College/University,0.58,USD,0.76,lb,,1.0,66,Vegetables,Fruit-Vegetable,Mishandled,Deli,Compost,Half Hotel Pan (6-inch) Plastic,Pre-Consumer,SC Marco,,0,
2024-11-07,08:32:30,University of California - Berkeley,Cafe 3,,Cafe 3 - LC0456,US,NORAM,College/University,0.45,USD,0.59,lb,,1.0,31,Vegetables,Fruit-Vegetable,Mishandled,Deli,Compost,4-inch Metal,Pre-Consumer,Cook,,0,
2024-11-07,08:31:37,University of California - Berkeley,Cafe 3,,Cafe 3 - LC0456,US,NORAM,College/University,2.44,USD,3.21,lb,,1.0,51,Vegetables,Fruit-Vegetable,Mishandled,Deli,Compost,Quarter Hotel Pan (4-inch) Metal,Pre-Consumer,SC Marco,,0,
2024-11-06,21:21:55,University of California - Berkeley,Cafe 3,,Cafe 3 - LC0456,US,NORAM,College/University,5.49,USD,5.57,lb,,1.0,9,Pasta,Starch,Presented - Not Sold,Pasta Station,Compost,Shotgun Pan (2.5-inch) Metal,Pre-Consumer,FSW,,0,
