Date,Value (USD)
01/01/2024, 160.14214
01/08/2024, 303.8306
01/15/2024, 382.7664
01/22/2024, 872.4608
01/29/2024, 617.63582
02/05/2024, 1612.9837
02/12/2024, 2126.69469
02/19/2024, 1214.70362
02/26/2024, 1694.07345
03/04/2024, 924.42811
03/11/2024, 1531.45062
03/18/2024, 618.44184
03/25/2024, 262.0127
04/01/2024, 591.41611
04/08/2024, 429.33169
04/15/2024, 1352.37718
04/22/2024, 1048.11874
04/29/2024, 1320.81065
05/06/2024, 915.03288
05/13/2024, 0
05/20/2024, 1282.98265
05/27/2024, 1524.20792
06/03/2024, 916.23566
06/10/2024, 963.84145
06/17/2024, 1281.10713
06/24/2024, 1055.68185
07/01/2024, 1332.30629
07/08/2024, 1007.92783
07/15/2024, 0
07/22/2024, 0
07/29/2024, 0
08/05/2024, 0
08/12/2024, 0
08/19/2024, 0
08/26/2024, 0
09/02/2024, 0
09/09/2024, 0
09/16/2024, 0
09/23/2024, 0
09/30/2024, 0
10/07/2024, 0
10/14/2024, 0
10/21/2024, 0
10/28/2024, 0
