Date,Value (USD)
01/01/2024, 0
01/08/2024, 0
01/15/2024, 227.16916
01/22/2024, 285.76429
01/29/2024, 396.1438
02/05/2024, 453.34545
02/12/2024, 493.7526
02/19/2024, 228.40018
02/26/2024, 518.43748
03/04/2024, 263.12079
03/11/2024, 432.39561
03/18/2024, 340.06468
03/25/2024, 0
04/01/2024, 262.59598
04/08/2024, 312.29298
04/15/2024, 303.81994
04/22/2024, 180.96834
04/29/2024, 262.42661
05/06/2024, 107.96174
05/13/2024, 0
05/20/2024, 0
05/27/2024, 137.41835
06/03/2024, 0
06/10/2024, 0
06/17/2024, 7.2561
06/24/2024, 63.62446
07/01/2024, 52.3365
07/08/2024, 84.13317
07/15/2024, 2.6904
07/22/2024, 86.5668
07/29/2024, 1.026
08/05/2024, 2.13498
08/12/2024, 1.90304
08/19/2024, 0
08/26/2024, 1.41
09/02/2024, 0
09/09/2024, 0
09/16/2024, 108.91725
09/23/2024, 221.13365
09/30/2024, 287.89762
10/07/2024, 222.00896
10/14/2024, 201.1885
10/21/2024, 235.4134
10/28/2024, 77.1566
